nm	SMARTS_Gueymard
3085	0.02295
3090	0.0228
3095	0.02263
3100	0.02243
3105	0.02228
3110	0.02211
3115	0.02177
3120	0.02174
3125	0.02158
3130	0.02145
3135	0.02136
3140	0.02118
3145	0.02107
3150	0.02088
3155	0.02083
3160	0.02073
3165	0.02066
3170	0.02052
3175	0.02047
3180	0.02032
3185	0.02024
3190	0.02019
3195	0.02008
3200	0.01994
3205	0.01986
3210	0.01976
3215	0.01962
3220	0.01954
3225	0.01942
3230	0.01938
3235	0.01926
3240	0.01921
3245	0.0191
3250	0.01909
3255	0.0189
3260	0.0188
3265	0.0187
3270	0.0186
3275	0.01848
3280	0.01837
3285	0.01832
3290	0.01826
3295	0.01803
3300	0.01792
3305	0.01786
3310	0.0177
3315	0.0176
3320	0.0173
3325	0.01728
3330	0.01713
3335	0.01703
3340	0.01685
3345	0.01678
3350	0.0166
3355	0.0165
3360	0.01636
3365	0.01629
3370	0.01618
3375	0.01611
3380	0.01601
3385	0.01598
3390	0.0159
3395	0.0158
3400	0.01564
3405	0.01565
3410	0.01554
3415	0.01547
3420	0.01543
3425	0.01532
3430	0.01522
3435	0.01515
3440	0.01505
3445	0.01502
3450	0.01492
3455	0.01488
3460	0.0148
3465	0.01476
3470	0.01466
3475	0.01456
3480	0.01448
3485	0.01445
3490	0.01436
3495	0.01432
3500	0.01423
3505	0.01415
3510	0.01405
3515	0.01402
3520	0.01393
3525	0.01389
3530	0.0138
3535	0.01376
3540	0.01367
3545	0.01366
3550	0.01357
3555	0.01345
3560	0.01336
3565	0.01336
3570	0.01325
3575	0.01318
3580	0.01308
3585	0.01305
3590	0.01298
3595	0.01294
3600	0.01285
3605	0.01283
3610	0.01274
3615	0.01272
3620	0.01264
3625	0.01261
3630	0.01251
3635	0.01249
3640	0.0124
3645	0.01236
3650	0.01228
3655	0.01222
3660	0.01215
3665	0.01215
3670	0.01204
3675	0.01203
3680	0.01189
3685	0.01183
3690	0.01177
3695	0.01172
3700	0.01155
3705	0.0116
3710	0.01151
3715	0.0115
3720	0.01144
3725	0.01143
3730	0.01134
3735	0.01128
3740	0.01108
3745	0.01108
3750	0.01104
3755	0.011
3760	0.01094
3765	0.01093
3770	0.01086
3775	0.0108
3780	0.01074
3785	0.01073
3790	0.01063
3795	0.01062
3800	0.01053
3805	0.01053
3810	0.01043
3815	0.01041
3820	0.01034
3825	0.01033
3830	0.01025
3835	0.01021
3840	0.01015
3845	0.01013
3850	0.01005
3855	0.01003
3860	0.00994
3865	0.00991
3870	0.00983
3875	0.00983
3880	0.00975
3885	0.0097
3890	0.00971
3895	0.00962
3900	0.0096
3905	0.00959
3910	0.00952
3915	0.0095
3920	0.00941
3925	0.0094
3930	0.00932
3935	0.0093
3940	0.00923
3945	0.0092
3950	0.00911
3955	0.00908
3960	0.00902
3965	0.00901
3970	0.00893
3975	0.00891
3980	0.00884
3985	0.0088
3990	0.00878
3995	0.0087
4000	0.00868
